record_id,merchant,category,rail,bank,gateway,gross_amount,fee_amount,bank_amount,gateway_amount,bank_date,gateway_date,bank_ref,gateway_ref,bank_desc,gateway_desc,status,anomaly_flag,anomaly_category
TXN-10K-00001,Freshworks SaaS Cloud,SaaS,UPI,HDFC,Cashfree,2222.14,5.24,2222.14,2216.9,2026-08-08 08:05:00,2026-08-08 08:05:00,REF-FRSH2458591,PO-FRSH2458591,UPI CR-FRSH2458591-CASHFREE-COLLECTION-Freshworks SaaS Cloud,UPI instant merchant payout batch FRSH2458591,matched,False,matched_clean
TXN-10K-00002,Dunzo Quick Commerce,E-Commerce,UPI,HDFC,Razorpay,7654.53,18.07,7654.53,7636.46,2026-08-03 04:09:00,2026-08-03 04:09:00,REF-DNZ4335942,PO-DNZ4335942,UPI CR-DNZ4335942-RAZORPAY-COLLECTION-Dunzo Quick Commerce,UPI instant merchant payout batch DNZ4335942,matched,False,matched_clean
TXN-10K-00003,Postman API Cloud,SaaS,UPI,AXIS,Stripe,4281.13,10.1,4281.13,4271.03,2026-08-01 14:26:00,2026-08-01 14:26:00,REF-POST8090293,PO-POST8090293,UPI CR-POST8090293-STRIPE-COLLECTION-Postman API Cloud,UPI instant merchant payout batch POST8090293,matched,False,matched_clean
TXN-10K-00004,Cleartrip Flights & Hotels,Travel,UPI,ICICI,Cashfree,5791.92,13.66,5791.92,5778.26,2026-08-23 20:44:00,2026-08-23 20:44:00,REF-CLRT5437923,PO-CLRT5437923,UPI CR-CLRT5437923-CASHFREE-COLLECTION-Cleartrip Flights & Hotels,UPI instant merchant payout batch CLRT5437923,matched,False,matched_clean
TXN-10K-00005,Infosys Contractor Payroll,Enterprise,NEFT/RTGS,KOTAK,Razorpay,485314.53,0.0,485314.53,485314.53,2026-08-20 06:27:00,2026-08-20 06:27:00,REF-INFY7067228,PO-INFY7067228,NEFT/RTGS CR-INFY7067228-RAZORPAY-TREASURY SWEEP-Infosys Contractor Payroll,Corporate treasury gross settlement INFY7067228,matched,False,matched_clean
TXN-10K-00006,Freshworks SaaS Cloud,SaaS,Debit Card,HDFC,Stripe,73909.35,1477.89,73909.35,72431.46,2026-08-15 12:26:00,2026-08-15 12:26:00,REF-FRSH7377459,PO-FRSH7377459,DEBIT CR-FRSH7377459-STRIPE-SETTLEMENT-Freshworks SaaS Cloud,Debit collection clearance sweep FRSH7377459,matched,False,matched_clean
TXN-10K-00007,Nykaa Cosmetics D2C,D2C,UPI,ICICI,Cashfree,10102.1,23.84,10102.1,10078.26,2026-08-06 05:47:00,2026-08-06 05:47:00,REF-NYK3871230,PO-NYK3871230,UPI CR-NYK3871230-CASHFREE-COLLECTION-Nykaa Cosmetics D2C,UPI instant merchant payout batch NYK3871230,matched,False,matched_clean
TXN-10K-00008,Zomato Logistics Payouts,Logistics,UPI,ICICI,PayU,14844.42,35.03,14844.42,14712.91,2026-08-16 08:22:00,2026-08-16 08:22:00,REF-ZMT6440561,PO-ZMT6440561,UPI CR-ZMT6440561-PAYU-COLLECTION-Zomato Logistics Payouts,UPI instant merchant payout batch ZMT6440561,flagged,True,fee_deduction
TXN-10K-00009,Zomato Logistics Payouts,Logistics,UPI,HDFC,Cashfree,1132.9,2.68,1132.9,1130.22,2026-08-21 16:15:00,2026-08-21 16:15:00,REF-ZMT9375710,PO-ZMT9375710,UPI CR-ZMT9375710-CASHFREE-COLLECTION-Zomato Logistics Payouts,UPI instant merchant payout batch ZMT9375710,matched,False,matched_clean
TXN-10K-00010,Infosys Contractor Payroll,Enterprise,UPI,ICICI,Cashfree,11213.09,26.47,11213.09,11129.68,2026-09-04 17:58:00,2026-09-04 17:58:00,REF-INFY8187926,PO-INFY8187926,UPI CR-INFY8187926-CASHFREE-COLLECTION-Infosys Contractor Payroll,UPI instant merchant payout batch INFY8187926,flagged,True,fee_deduction
TXN-10K-00011,Zomato Logistics Payouts,Logistics,UPI,ICICI,PayU,849.68,2.01,849.68,847.67,2026-08-08 14:13:00,2026-08-08 14:13:00,REF-ZMT3684052,PO-ZMT3684052,UPI CR-ZMT3684052-PAYU-COLLECTION-Zomato Logistics Payouts,UPI instant merchant payout batch ZMT3684052,matched,False,matched_clean
TXN-10K-00012,Razorpay Capital Advances,Lending,UPI,KOTAK,Razorpay,8998.94,21.24,8998.94,4173.8,2026-08-31 03:03:00,2026-08-31 03:03:00,REF-RZPC5218028,PO-RZPC5218028,UPI CR-RZPC5218028-RAZORPAY-COLLECTION-Razorpay Capital Advances,UPI instant merchant payout batch RZPC5218028,mismatched,True,amount_discrepancy
