batch_id,record_id,source_a_id,source_a_amount,source_a_date,source_a_description,source_a_reference,source_b_id,source_b_amount,source_b_date,source_b_description,source_b_reference,expected_status,anomaly_type,fee_amount
batch-synth-v1,TXN-5001,BNK-SBI-1001,84054.15,2026-09-02,IMPS INWARD-704596A-MERCHANT DISBURSEMENT,REF-704596A,PAY-RZP-2001,84054.15,2026-09-02,Merchant disbursement net of platform fees,PO-704596A,matched,none,0.0
batch-synth-v1,TXN-5002,BNK-AXIS-1002,20259.52,2026-09-11,UPI CR-877991B-INSTANT SETTLEMENT,REF-877991B,GW-RZP-2002,20259.52,2026-09-11,Daily automated merchant credit,PO-877991B,matched,none,0.0
batch-synth-v1,TXN-5003,BNK-SBI-1003,16773.82,2026-09-06,UPI CR-429164C-INSTANT SETTLEMENT,REF-429164C,PO-RZP-2003,16773.82,2026-09-06,Razorpay payout Subscription settlement batch,PO-429164C,matched,none,0.0
batch-synth-v1,TXN-5004,BNK-KOTAK-1004,66832.5,2026-09-09,TRANSFER-301158D-DAILY SETTLEMENT SWEEP,REF-301158D,PO-RZP-2004,66832.5,2026-09-09,Daily automated merchant credit,PO-301158D,matched,none,0.0
batch-synth-v1,TXN-5005,BNK-ICICI-1005,10448.84,2026-09-14,RTGS CR-418635E-BULK PAYOUT BATCH,REF-418635E,PAY-RZP-2005,10448.84,2026-09-14,Gateway settlement auto-sweep SaaS,PO-418635E,matched,none,0.0
batch-synth-v1,TXN-5006,BNK-KOTAK-1006,51529.59,2026-09-04,UPI CR-596171F-INSTANT SETTLEMENT,REF-596171F,PAY-RZP-2006,50876.28,2026-09-06,Gateway settlement auto-sweep Subscription,PO-596171F,flagged,fee_and_date_drift,653.31
batch-synth-v1,TXN-5007,BNK-ICICI-1007,20260.79,2026-09-03,IMPS INWARD-148458G-MERCHANT DISBURSEMENT,REF-148458G,PAY-RZP-2007,20260.79,2026-09-03,Customer checkout collection settlement,PO-148458G,matched,none,0.0
batch-synth-v1,TXN-5008,BNK-AXIS-1008,68100.75,2026-09-07,IMPS INWARD-519066H-MERCHANT DISBURSEMENT,REF-519066H,PO-RZP-2008,66908.92,2026-09-08,Gateway settlement auto-sweep Enterprise,PO-519066H,flagged,fee_and_date_drift,1191.83
batch-synth-v1,TXN-5009,BNK-ICICI-1009,52872.99,2026-09-09,NEFT CR-989545I-RAZORPAY SETTLEMENT-E-Commerce,REF-989545I,GW-RZP-2009,52872.99,2026-09-09,Customer checkout collection settlement,PO-989545I,matched,none,0.0
batch-synth-v1,TXN-5010,BNK-AXIS-1010,14193.67,2026-09-06,ACH CR-564071J-SUBSCRIPTION POOL-B2B Services,REF-564071J,PAY-RZP-2010,14193.67,2026-09-06,Daily automated merchant credit,PO-564071J,matched,none,0.0
batch-synth-v1,TXN-5011,BNK-KOTAK-1011,53480.47,2026-09-05,UPI CR-359249K-INSTANT SETTLEMENT,REF-359249K,PO-RZP-2011,53480.47,2026-09-05,Merchant disbursement net of platform fees,PO-359249K,matched,none,0.0
batch-synth-v1,TXN-5012,BNK-ICICI-1012,17981.85,2026-09-04,RTGS CR-452161L-BULK PAYOUT BATCH,REF-452161L,PO-RZP-2012,17981.85,2026-09-04,Recurring subscription payout batch,PO-452161L,matched,none,0.0
batch-synth-v1,TXN-5013,BNK-ICICI-1013,17501.77,2026-09-12,TRANSFER-167348M-DAILY SETTLEMENT SWEEP,REF-167348M,GW-RZP-2013,17501.77,2026-09-14,Customer checkout collection settlement,PO-167348M,flagged,settlement_date_drift,0.0
batch-synth-v1,TXN-5014,BNK-HDFC-1014,71187.75,2026-09-12,ACH CR-998348N-SUBSCRIPTION POOL-SaaS,REF-998348N,GW-RZP-2014,71187.75,2026-09-13,Customer checkout collection settlement,PO-998348N,flagged,settlement_date_drift,0.0
batch-synth-v1,TXN-5015,BNK-SBI-1015,154138.51,2026-09-12,ACH CR-672661O-SUBSCRIPTION POOL-D2C,REF-672661O,PO-RZP-2015,154138.51,2026-09-12,Gateway settlement auto-sweep D2C,PO-672661O,matched,none,0.0
batch-synth-v1,TXN-5016,BNK-ICICI-1016,1211.11,2026-09-06,TRANSFER-812131P-DAILY SETTLEMENT SWEEP,REF-812131P,PO-RZP-2016,1211.11,2026-09-06,Daily automated merchant credit,PO-812131P,matched,none,0.0
